word1,word2,word3,n,unique_ids
funguild,taxonomic,assignment,1,1
gaining,nutrients,guild,1,1
gdgts,radiocarbon,age,1,1
genus,level,probability,1,1
genus,level,ranges,1,1
geobotany,center,id,1,1
geobotany,center,identification,1,1
geodatabases,unique,identifier,1,1
giant,gravity,corer,1,1
glacial,geology,description,1,1
glass,microsensors,interfaced,1,1
glass,vial,identity,1,1
glucose,curve,date,1,1
glucose,curve,microbial,1,1
gmt,8,speed,1,1
gmt,8,total,1,1
gnis,10,char,1,1
gpr,trace,layer,1,1
grain,size,distribution,1,1
gravel,cover,percentage,1,1
gravity,corer,ggc,1,1
ground,comments,recorded,1,1
ground,surface,unique,1,1
growth,curves,stefan,1,1
growth,rates,calculated,1,1
gut,microbiota,frequency,1,1
habitat,type,pond,1,1
height,transect,identification,1,1
homogenized,soil,sample,1,1
horizon,thickness,summer,1,1
hour,comments,pertaining,1,1
hourly,aggregation,wind,1,1
hourly,data,record,1,1
hue,dry,soil,1,1
human,disturbance,degree,1,1
hydroxyl,radical,molar,1,1
hypobromous,acid,mole,1,1
hz,hz,iodine,1,1
hz,iodine,mole,1,1
ibutton,temperature,logger,1,1
ice,core,measured,1,1
ice,core,type,1,1
ice,covered,surfaces,1,1
ice,damming,noted,1,1
ice,free,ice,1,1
ice,growth,curves,1,1
ice,stations,margin,1,1
ice,system,science,1,1
icp,ms,nitric,1,1
id,alaska,department,1,1
identifier,unique,object,1,1
immune,analysis,frequency,1,1
incl,brackish,conditions,1,1
includes,current,capture,1,1
index,antarctic,oscillation,1,1
index,arctic,oscillation,1,1
index,pacific,north,1,1
index,sea,ice,1,1
indicating,0.2,mm,1,1
indicating,dissolved,mercury,1,1
individual,data,book,1,1
instrument,notes,ble,1,1
instrument,precision,calculated,1,1
instrument,raw,voltage,1,1
integrity,ble,lter's,1,1
intermediate,layer,intermediate,1,1
intermediate,layer,plots,1,1
internal,sensor,ble,1,1
interpretive,flake,type,1,1
iodine,monobromide,mole,1,1
irvine,usa,sample,1,1
iso8601,format,yyyy,1,1
jpc,jpc,pilot,1,1
jpc,pilot,corer,1,1
jumbo,piston,corer,1,1
keck,carbon,cycle,1,1
key,categorical,class,1,1
km,total,mercury,1,1
lab,moist,soil,1,1
lagoon,ocean,identifies,1,1
lagoon,ocean,longitude,1,1
lake,center,multiple,1,1
lake,center,standard,1,1
lake,date,dd,1,1
lake,ebullition,surveys,1,1
lake,ice,system,1,1
lake,river,lagoon,1,1
lake,unique,id,1,1
layer,depth,222radon,1,1
layer,intermediate,layer,1,1
layer,thickness,plots,1,1
length,regression,coefficient,1,1
level,lithic,raw,1,1
life,form,categorical,1,1
liter,dissolved,mercury,1,1
liters,222,radon,1,1
lithic,raw,material,1,1
litter,cover,percentage,1,1
locality,details,estimation,1,1
located,treatment,applied,1,1
location,comments,recorded,1,1
location,eastern,hemisphere,1,1
location,fetch,distance,1,1
location,methane,concentration,1,1
location,ship,speed,1,1
log,transformed,rfu,1,1
logbook,page,image,1,1
logger,additional,notes,1,1
logger,alaska,geobotany,1,1
logger,height,plots,1,1
longitude,min,date,1,1
lost,porewater,volume,1,1
low,calibrated,95,1,1
lowest,grade,offered,1,1
macrofossil,sample,measured,1,1
macrotopography,class,generalized,1,1
main,mesic,hydric,1,1
mass,spectrometry,facility,1,1
maxim,ibutton,temperature,1,1
maximum,ice,thickness,1,1
maximum,shrub,height,1,1
mc,jumbo,piston,1,1
measure,soil,temperatures,1,1
measured,dating,error,1,1
measurement,auger,hole,1,1
measurement,dissolved,organic,1,1
measurement,location,methane,1,1
measurement,location,ship,1,1
measurement,profile,sequence,1,1
measurement,site,id,1,1
measurement,standard,deviation,1,1
measuring,regression,coefficient,1,1
measurment,units,temperature,1,1
median,median,date,1,1
melt,pond,measured,1,1
melt,pond,volume,1,1
meters,average,length,1,1
meters,sampling,stop,1,1
meters,unique,identifier,1,1
method,ppm,precision,1,1
method,sampling,round,1,1
mg,retranslocation,efficiency,1,1
microsite,site,moisture,1,1
microtopography,class,total,1,1
min,aggregation,period,1,1
mineral,soil,texture,1,1
mixed,layer,depth,1,1
mm,dd,flag,1,1
mm,dd,pigment,1,1
modified,hargreaves,equation,1,1
moist,soil,color,1,1
mol,background,subtracted,1,1
mol,hypobromous,acid,1,1
mol,iodine,monobromide,1,1
mon,multiple,dates,1,1
monobromide,mole,fraction,1,1
month,day,date,1,1
mosaic,sar,platform,1,1
mother,tiller,leaf,1,1
mother,tiller,weight,1,1
ms,nitric,acid,1,1
multicolor,mc,jumbo,1,1
multiple,dates,listed,1,1
multiple,individual,filters,1,1
museum,earth,sciences,1,1
mycorrhizal,mycorrhizal,status,1,1
narrative,report,summarizing,1,1
national,archives,digital,1,1
natural,log,transformed,1,1
negative,unique,identifier,1,1
nest,book,nest,1,1
nest,contents,data,1,1
nest,empty,day,1,1
nest,empty,estimated,1,1
net,ecosystem,production,1,1
network,calon,project,1,1
nitrite,concentration,ble,1,1
nitrogen,data,flag,1,1
nitrogen,fixer,status,1,1
north,american,teleconnection,1,1
north,atlantic,oscillation,1,1
north,comments,pertaining,1,1
notes,artifact,found,1,1
notes,ble,lter's,1,1
notes,column,times,1,1
notes,observations,distance,1,1
notes,observations,longitude,1,1
notes,observations,plots,1,1
notes,observations,unique,1,1
nsf,arc,1417300,1,1
nutrient,unit,concentrations,1,1
nutrients,guild,functional,1,1
object,identifier,unique,1,1
observation,network,aliss,1,1
observation,network,calon,1,1
observation,network,project,1,1
observation,wind,azimuth,1,1
observations,nest,book,1,1
observations,unique,code,1,1
observed,fungal,otus,1,1
observer,comments,recorded,1,1
observer’s,comments,dbo,1,1
ocean,18o,notes,1,1
ocean,ble,lter's,1,1
ocean,identifies,freshwater,1,1
operational,taxonomic,unit,1,1
operational,taxonomic,units,1,1
optical,absorption,spectroscopy,1,1
organic,carbon,blank,1,1
organic,carbon,determined,1,1
organic,carbon,fraction,1,1
organic,carbon,method,1,1
organic,horizon,thickness,1,1
organic,scavenger,rate,1,1
organics,id,types,1,1
original,banding,location,1,1
oscillation,index,pacific,1,1
otus,operational,taxonomic,1,1
owl,jaeger,pellet,1,1
oxygen,standard,deviation,1,1
pacific,north,american,1,1
pack,heavy,edge,1,1
paper,experiment,identification,1,1
peptide,identifier,summarizing,1,1
percent,mg,retranslocation,1,1
percent,total,concentration,1,1
percentage,dust,cover,1,1
percentage,gravel,cover,1,1
percentage,rock,cover,1,1
percentage,soil,cover,1,1
percentage,total,cover,1,1
percentage,water,cover,1,1
period,air,temperature,1,1
permafrost,table,based,1,1
photosynthesis,data,standard,1,1
phycoerythrin,concentration,μg,1,1
phylum,level,probability,1,1
phylum,level,ranges,1,1
physical,stability,description,1,1
picked,silva,taxonomy,1,1
pilot,corer,pg,1,1
piston,corer,jpc,1,1
plant,collection,weight,1,1
plant,functional,category1,1,1
plant,functional,category2,1,1
plant,operational,taxonomic,1,1
plant,plant,species,1,1
plant,species,collected,1,1
plant,species,found,1,1
plot,generalized,category,1,1
plot,notes,plots,1,1
plot,notes,site,1,1
plot,t1,10,1,1
plot,t1,100,1,1
plot,t1,200,1,1
plot,t1,25,1,1
plot,t1,5,1,1
plot,t1,50,1,1
plot,t2,10,1,1
plot,t2,100,1,1
plot,t2,200,1,1
plot,t2,25,1,1
plot,t2,5,1,1
plot,t2,50,1,1
plots,plant,functional,1,1
pmol,mol,background,1,1
pmol,mol,hypobromous,1,1
pmol,mol,iodine,1,1
pollen,spore,count,1,1
pond,lake,river,1,1
pore,water,collected,1,1
pore,water,sample,1,1
porewater,volume,data,1,1
position,absolute,logger,1,1
post,retrieval,total,1,1
practical,salinity,scale,1,1
primary,ice,structures,1,1
primary,key,categorical,1,1
primary,key,depth,1,1
primary,source,logbook,1,1
prior,day,prior,1,1
profile,generalized,category,1,1
project,nsf,arc,1,1
protocol,additional,information,1,1
protocol,total,carbon,1,1
publication,dated,material,1,1
publish,study,responsible,1,1
published,data,sar,1,1
purgeable,organic,carbon,1,1
quadrat,located,closest,1,1
radical,molar,concentration,1,1
radiocarbon,age,organics,1,1
radiocarbon,dating,relative,1,1
radiometer,temperature,latitude,1,1
radium,226,radium,1,1
randomly,assigned,sequential,1,1
range,1,sigma,1,1
rare,specimens,comments,1,1
raw,material,presence,1,1
raw,voltage,reading,1,1
recorded,mm,dd,1,1
red,algae,normalized,1,1
reference,site,description,1,1
reference,zenith,90,1,1
relative,fluorescence,units,1,1
relevant,locality,details,1,1
replicate,replication,row,1,1
replicate,replication,soil,1,1
replication,row,8,1,1
replication,soil,organic,1,1
reported,observations,nest,1,1
resighted,individual,data,1,1
resin,strip,ammonium,1,1
resin,strip,nitrate,1,1
respective,proxies,refers,1,1
respective,proxies,resolution,1,1
respective,proxies,tephra,1,1
respiration,flux,measurment,1,1
retrieval,total,pressure,1,1
retrieved,rbr,serial,1,1
rfu,data,plotted,1,1
river,ice,damming,1,1
rock,cover,percentage,1,1
rock,primary,key,1,1
routine,post,retrieval,1,1
row,8,16044,1,1
row,unique,identifier,1,1
rozen,typology,cortex,1,1
run,identifier,datetime,1,1
run,identifier,timestamp,1,1
saline,incl,brackish,1,1
salinity,data,flag,1,1
salinity,scale,conductivity,1,1
sample,collected,site,1,1
sample,collection,elemental,1,1
sample,collection,rosette,1,1
sample,dated,material,1,1
sample,finished,time,1,1
sample,identifier,sample,1,1
sample,integrity,ble,1,1
sample,level,lithic,1,1
sample,location,type,1,1
sample,measured,dating,1,1
sample,rough,latitude,1,1
sample,site,latitude,1,1
sample,size,measurement,1,1
sample,total,organic,1,1
sample,type,rate,1,1
sample,ug,po4,1,1
sample,µg,po4,1,1
sampling,akdt,time,1,1
sampling,array,station,1,1
sampling,column,refers,1,1
sampling,pit,height,1,1
sampling,round,percent,1,1
sampling,scheme,northwest,1,1
sampling,stop,date,1,1
sampling,stop,time,1,1
scavenger,rate,constant,1,1
scheme,northwest,stake,1,1
science,project,nsf,1,1
sciences,accession,dated,1,1
sea,ice,extent,1,1
sea,ice,terms,1,1
seafet,internal,sensor,1,1
sediment,63,µm,1,1
sediment,isomer,ratio,1,1
segment,pollen,spore,1,1
semi,colon,separated,1,1
sensor,ble,lter's,1,1
sheet,comments,data,1,1
si_t4_oc,ec,tc,1,1
sightings,occurred,date,1,1
sigma,standard,deviation,1,1
site,abbreviated,site,1,1
site,estimated,snow,1,1
site,location,identifier,1,1
site,location,information,1,1
site,location,unique,1,1
site,main,mesic,1,1
site,moisture,description,1,1
site,treatment,main,1,1
site,treatment,plot,1,1
siteinfo,table,unique,1,1
sites,0.01,gas,1,1
sites,read,length,1,1
size,distribution,shape,1,1
size,measurement,uncertainty,1,1
size,range,1,1,1
slow,hyperlinks,urls,1,1
snow,cores,collected,1,1
snow,depth,measurement,1,1
snow,duration,description,1,1
snow,duration,modifier,1,1
snow,observation,network,1,1
snowpack,sample,blanks,1,1
soil,boundary,description,1,1
soil,chroma,determined,1,1
soil,chroma,moist,1,1
soil,chroma,volumetric,1,1
soil,color,soil,1,1
soil,consistency,description,1,1
soil,cover,percentage,1,1
soil,dry,weight,1,1
soil,hue,determined,1,1
soil,hue,dry,1,1
soil,measurement,instance,1,1
soil,moisture,description,1,1
soil,organic,horizon,1,1
soil,profile,generalized,1,1
soil,sample,mass,1,1
soil,soil,consistency,1,1
soil,structure,description,1,1
soil,surface,degrees,1,1
soil,tare,weight,1,1
soil,texture,description,1,1
soil,units,description,1,1
sound,derived,ble,1,1
source,logbook,page,1,1
species,cf,diatoma,1,1
species,counted,relative,1,1
species,diploneis,marginestriata,1,1
species,level,probability,1,1
species,level,ranges,1,1
specific,calibration,run,1,1
specific,data,tables,1,1
specimens,comments,included,1,1
square,km,month,1,1
staff,1975,moist,1,1
standard,deviation,elevation,1,1
standard,deviation,sample,1,1
standards,delivery,module,1,1
station,ble,lter's,1,1
station,type,lake,1,1
steward,unknown,attribute,1,1
stop,date,sampling,1,1
stop,time,longitude,1,1
structure,description,gravel,1,1
structure,primary,key,1,1
studied,sites,read,1,1
study,decimal,degree,1,1
study,location,eastern,1,1
study,location,provided,1,1
study,location,unique,1,1
subregion,expansion,rates,1,1
subsample,correction,factor,1,1
summer,warmth,index,1,1
surface,height,transect,1,1
surface,organic,material,1,1
surface,snow,density,1,1
surface,unique,site,1,1
surficial,deposits,generalized,1,1
surficial,geology,description,1,1
surficial,geomorphology,description,1,1
suspension,feeders,normalized,1,1
sy14,average,count,1,1
sy14,average,retention,1,1
synthesis,contact,details,1,1
system,science,project,1,1
t1,standard,deviation,1,1
t1,volumetric,moisture,1,1
t2,average,thickness,1,1
table,6,additional,1,1
table,strings,consisting,1,1
table,unique,identifier,1,1
tare,weight,location,1,1
tare,weight,plots,1,1
target,nutrient,unit,1,1
tarsus,0.1255,wing,1,1
taxonomic,unit,plot,1,1
taxonomic,units,transect,1,1
tc,concentrations,sample,1,1
teleconnection,daily,index,1,1
temperature,ble,lter's,1,1
temperature,latitude,north,1,1
temperature,logger,code,1,1
temperature,logger,notes,1,1
temperature,measured,height,1,1
temperature,measurement,dissolved,1,1
temperature,measurement,standard,1,1
temperature,observation,depth,1,1
tests,benthic,forams,1,1
texture,description,soil,1,1
thermal,alteration,size,1,1
thermal,conductive,heating,1,1
thickness,summer,warmth,1,1
tile,deployment,site,1,1
tiller,1,leaf,1,1
tiller,1,weight,1,1
tiller,2,leaf,1,1
tiller,2,weight,1,1
tiller,3,leaf,1,1
tiller,3,weight,1,1
tiller,4,leaf,1,1
tiller,4,weight,1,1
tiller,5,leaf,1,1
tiller,5,weight,1,1
tiller,6,leaf,1,1
time,24,hour,1,1
time,format,consistency,1,1
time,recorded,mm,1,1
time,water,temperature,1,1
tip,indicating,0.2,1,1
topographic,position,description,1,1
total,1950s,lake,1,1
total,homogenized,soil,1,1
total,lake,expansion,1,1
total,mercury,concentration,1,1
total,water,accumulation,1,1
total_head,0.062,tarsus,1,1
transect,corresponds,directly,1,1
transformed,rfu,data,1,1
trough,unique,sample,1,1
troughs,bare,ground,1,1
type,flake,initiation,1,1
type,lake,river,1,1
type,pond,lake,1,1
type,rate,constant,1,1
types,transect,identification,1,1
typology,cortex,cover,1,1
u.s,national,archives,1,1
underwater,instrument,notes,1,1
unique,identifier,integer,1,1
unique,identifier,linked,1,1
unique,site,location,1,1
uniqueid,zone,identification,1,1
unisense,aarhus,denmark,1,1
unisense,field,multimeter,1,1
unknown,bird,banding,1,1
upland,stations,selected,1,1
uppermost,segment,pollen,1,1
usa,sample,id,1,1
utc,offset,instrument,1,1
utc,water,depth,1,1
utc,water,flow,1,1
vegetated,cover,cover,1,1
vegetation,classification,criteria,1,1
velocity,ble,lter,1,1
velocity,ble,lter's,1,1
velocity,data,flags,1,1
volume,data,ble,1,1
water,body,centers,1,1
water,column,carbon,1,1
water,column,day,1,1
water,column,depth,1,1
water,column,flag,1,1
water,column,ratio,1,1
water,column,sample,1,1
water,column,volume,1,1
water,cover,percentage,1,1
water,flow,direction,1,1
water,sample,collected,1,1
water,temperature,measured,1,1
waves,comments,pertaining,1,1
weather,conditions,logistics,1,1
western,hemisphere,values,1,1
willow,celluslose,amps,1,1
wing,0.0766,final_wt,1,1
winter,calculate,evapotranspiration,1,1
xeric,treatment,main,1,1
yyyy,hh:mm,times,1,1
yyyy,text,location,1,1
zenith,90,degree,1,1
zone,identification,code,1,1
