identifier,author,title,keywords,abstract,datePublished,dateUploaded
doi:10.18739/A2WH2DF0Z,Dmitry A Streletskiy,"Thaw depth measurements from the Circumpolar Active Layer Monitoring (CALM) project for site 'Allaiha (Indigirka basin)' (R31), North East Siberia, Russia from 2004-2018",EARTH SCIENCE > CRYOSPHERE > FROZEN GROUND > ACTIVE LAYER IN SITU/LABORATORY INSTRUMENTS > PROBES > TEMPERATURE PROBES IN SITU/LABORATORY INSTRUMENTS > PROBES > SNOW MEASURING ROD IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL TEMPERATURE PROBE IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL DEPTH PROBE IN SITU/LABORATORY INSTRUMENTS > RECORDERS/LOGGERS > TEMPERATURE LOGGERS IN SITU/LABORATORY INSTRUMENTS > TEMPERATURE/HUMIDITY SENSORS > THERMISTORS > THERMISTORS IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL MOISTURE PROBE IN SITU/LABORATORY INSTRUMENTS > PROBES > PROBES IN SITU/LABORATORY INSTRUMENTS > TEMPERATURE/HUMIDITY SENSORS > TEMPERATURE SENSORS POINT 1 METER TO 30 METERS 30 METERS TO 100 METERS 100 METERS TO 250 METERS 250 METERS TO 500 METERS 500 METERS TO 1 KILOMETER 1 KILOMETER MONTHLY TO ANNUAL FIELD SURVEY TRANSECT GRID MULTIPLE GRIDS AND VECTORS environment,"The primary goal of the Circumpolar Active Layer Monitoring (CALM) program is to observe the response of the active layer and near-surface permafrost to climate change over long (multi-decadal) time scales. The CALM observational network, established in the 1990s, observes the long-term response of the active layer and near-surface permafrost to changes and variations in climate at more than 200 sites in both hemispheres. CALM currently has participants from 15 countries. Majority of sites measure active-layer thickness on grids ranging from 1 hecatre to 1 square kilometer, and observe soil temperatures. Most sites in the CALM network are located in Arctic and Subarctic lowlands. Southern Hemisphere component (CALM-South) is being organized and currently includes sites in Antarctic and South America. The broader impacts of this project are derived from the hypothesis that widespread, systematic changes in the thickness of the active layer could have profound effects on the flux of greenhouse gases, on the human infrastructure in cold regions, and on landscape processes. It is therefore critical that observational and analytical procedures continue over decadal periods to assess trends and detect cumulative, long-term changes.  The CALM program began in 1991. It was initially affiliated with the International Tundra Experiment and has been supported independently and continuously since 1998 through grants from the United States National Science Foundation (NSF). CALM is funded by the NSF Award 1304555 (Polar Programs).  This dataset and metadata record was automatically generated from a web crawl of the original project page https://www2.gwu.edu/~calm/data/north.htm at the request of project coordinators. More information about this site and others in the project can be found at https://www2.gwu.edu/~calm/data/north.htm and also http://gtnpdatabase.org/activelayers .",2019-06-21T07:00:00Z,2019-06-26T20:39:01Z
doi:10.18739/A2WS8HK9C,Dmitry A Streletskiy,"Thaw depth measurements from the Circumpolar Active Layer Monitoring (CALM) project for site 'Inigok' (U21), Alaska North Slope, United States (Alaska) from 1998-2016",EARTH SCIENCE > CRYOSPHERE > FROZEN GROUND > ACTIVE LAYER IN SITU/LABORATORY INSTRUMENTS > PROBES > TEMPERATURE PROBES IN SITU/LABORATORY INSTRUMENTS > PROBES > SNOW MEASURING ROD IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL TEMPERATURE PROBE IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL DEPTH PROBE IN SITU/LABORATORY INSTRUMENTS > RECORDERS/LOGGERS > TEMPERATURE LOGGERS IN SITU/LABORATORY INSTRUMENTS > TEMPERATURE/HUMIDITY SENSORS > THERMISTORS > THERMISTORS IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL MOISTURE PROBE IN SITU/LABORATORY INSTRUMENTS > PROBES > PROBES IN SITU/LABORATORY INSTRUMENTS > TEMPERATURE/HUMIDITY SENSORS > TEMPERATURE SENSORS POINT 1 METER TO 30 METERS 30 METERS TO 100 METERS 100 METERS TO 250 METERS 250 METERS TO 500 METERS 500 METERS TO 1 KILOMETER 1 KILOMETER MONTHLY TO ANNUAL FIELD SURVEY TRANSECT GRID MULTIPLE GRIDS AND VECTORS environment,"The primary goal of the Circumpolar Active Layer Monitoring (CALM) program is to observe the response of the active layer and near-surface permafrost to climate change over long (multi-decadal) time scales. The CALM observational network, established in the 1990s, observes the long-term response of the active layer and near-surface permafrost to changes and variations in climate at more than 200 sites in both hemispheres. CALM currently has participants from 15 countries. Majority of sites measure active-layer thickness on grids ranging from 1 hecatre to 1 square kilometer, and observe soil temperatures. Most sites in the CALM network are located in Arctic and Subarctic lowlands. Southern Hemisphere component (CALM-South) is being organized and currently includes sites in Antarctic and South America. The broader impacts of this project are derived from the hypothesis that widespread, systematic changes in the thickness of the active layer could have profound effects on the flux of greenhouse gases, on the human infrastructure in cold regions, and on landscape processes. It is therefore critical that observational and analytical procedures continue over decadal periods to assess trends and detect cumulative, long-term changes.  The CALM program began in 1991. It was initially affiliated with the International Tundra Experiment and has been supported independently and continuously since 1998 through grants from the United States National Science Foundation (NSF). CALM is funded by the NSF Award 1304555 (Polar Programs).  This dataset and metadata record was automatically generated from a web crawl of the original project page https://www2.gwu.edu/~calm/data/north.htm at the request of project coordinators. More information about this site and others in the project can be found at https://www2.gwu.edu/~calm/data/north.htm and also http://gtnpdatabase.org/activelayers .",2019-06-21T07:00:00Z,2019-06-26T20:18:58Z
doi:10.18739/A2X34MR7S,Dmitry A Streletskiy,"Thaw depth measurements from the Circumpolar Active Layer Monitoring (CALM) project for site 'Vaskiny Dachi, Yamal Peninsula' (R5 D), West Siberia, Russia from 2014-2018",EARTH SCIENCE > CRYOSPHERE > FROZEN GROUND > ACTIVE LAYER IN SITU/LABORATORY INSTRUMENTS > PROBES > TEMPERATURE PROBES IN SITU/LABORATORY INSTRUMENTS > PROBES > SNOW MEASURING ROD IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL TEMPERATURE PROBE IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL DEPTH PROBE IN SITU/LABORATORY INSTRUMENTS > RECORDERS/LOGGERS > TEMPERATURE LOGGERS IN SITU/LABORATORY INSTRUMENTS > TEMPERATURE/HUMIDITY SENSORS > THERMISTORS > THERMISTORS IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL MOISTURE PROBE IN SITU/LABORATORY INSTRUMENTS > PROBES > PROBES IN SITU/LABORATORY INSTRUMENTS > TEMPERATURE/HUMIDITY SENSORS > TEMPERATURE SENSORS POINT 1 METER TO 30 METERS 30 METERS TO 100 METERS 100 METERS TO 250 METERS 250 METERS TO 500 METERS 500 METERS TO 1 KILOMETER 1 KILOMETER MONTHLY TO ANNUAL FIELD SURVEY TRANSECT GRID MULTIPLE GRIDS AND VECTORS environment,"The primary goal of the Circumpolar Active Layer Monitoring (CALM) program is to observe the response of the active layer and near-surface permafrost to climate change over long (multi-decadal) time scales. The CALM observational network, established in the 1990s, observes the long-term response of the active layer and near-surface permafrost to changes and variations in climate at more than 200 sites in both hemispheres. CALM currently has participants from 15 countries. Majority of sites measure active-layer thickness on grids ranging from 1 hecatre to 1 square kilometer, and observe soil temperatures. Most sites in the CALM network are located in Arctic and Subarctic lowlands. Southern Hemisphere component (CALM-South) is being organized and currently includes sites in Antarctic and South America. The broader impacts of this project are derived from the hypothesis that widespread, systematic changes in the thickness of the active layer could have profound effects on the flux of greenhouse gases, on the human infrastructure in cold regions, and on landscape processes. It is therefore critical that observational and analytical procedures continue over decadal periods to assess trends and detect cumulative, long-term changes.  The CALM program began in 1991. It was initially affiliated with the International Tundra Experiment and has been supported independently and continuously since 1998 through grants from the United States National Science Foundation (NSF). CALM is funded by the NSF Award 1304555 (Polar Programs).  This dataset and metadata record was automatically generated from a web crawl of the original project page https://www2.gwu.edu/~calm/data/north.htm at the request of project coordinators. More information about this site and others in the project can be found at https://www2.gwu.edu/~calm/data/north.htm and also http://gtnpdatabase.org/activelayers .",2019-06-21T07:00:00Z,2019-06-26T19:43:40Z
doi:10.18739/A2SJ19R18,Gijs de Boer,"miniFlux data from Stratified Ocean Dynamics of the Arctic (SODA) campaign, Beaufort Sea and northern Alaska, 2018",Unmanned Aircraft Atmospheric temperature Atmospheric pressure Atmospheric humidity Surface brightness temperature Sky brightness temperature Winds,"This dataset contains measurements obtained with the NOAA (National Oceanic and Atmospheric Administration)/University of Colorado miniFlux sensor suite, flown on the University of Alaska - Fairbanks SeaHunter unmanned aircraft system as part of SODA (Stratified Ocean Dynamics of the Arctic).  Included are atmospheric variables and surface and sky brightness temperatures.  The aircraft was stationed at Kuparuk airport on the north slope of Alaska, and flights occurred around the airport and to the north over the Beaufort Sea.  Five flights were completed in total.",2019-01-01T08:00:00Z,2019-08-13T15:58:38Z
doi:10.18739/A2TM7214P,Rebecca Woodgate,"Bering Strait CTD (conductivity, temperature, and depth) data, 2018",CTD Bering Strait Southern Chukchi Sea,"This is an archive of CTD (conductivity, temperature, and depth) data from the 2018 Bering Strait mooring cruise. The cruise was funded by the National Science Foundation (NSF)-Arctic Observing Network grants:  - PLR (Division of Polar Programs) -1304052 (PIs (Principal Investigators): Woodgate, Heimbach and Nguyen), and  - PLR-1758565 (PIs: Woogate and Peralta-Ferriz).  The data are from a ~ 10 day cruise on the United States (US) vessel Norseman II from 10th-19th August 2018 sailing from and to Nome, Alaska to the Bering Strait and southern Chukchi Sea. The cruise was also to service oceanographic moorings in the strait and those data are archived separately. A total of 142 casts were taken and are included in this archive. No water samples were taken during this cruise. Stations were taken in US waters near mooring locations and on sections in the Bering Strait and southern Chukchi Sea. See cruise report for map, station locations, calibration, and processing details.  The data are taken using an SBE911p system, recording:  - pressure  - temperature (dual system)  - conductivity (dual system)  - oxygen (dual system)  - fluorescence  - turbidity  For an overview of previous and on-going Bering Strait mooring work, please see http://psc.apl.washington.edu/BeringStrait.html. For details of the measurements and their interpretation, please see:  -Woodgate, R.A., K.M. Stafford and F.G. Prahl (2015) A synthesis of year-round interdisciplinary mooring measurements in the Bering Strait (1990-2014) and the RUSALCA (Russian-American Long-term Census of the Arctic) years (2004-2011), Oceanography 28(3):46-67, doi:10.5670/oceanog.2015.57  Please cite that reference for the data. For queries, please contact:  Rebecca Woodgate woodgate@uw.edu (206) 221-3268  Polar Science Center, Applied Physics Lab, University of Washington  1013 NE 40th, Seattle, Washington 98105-6698, United States of America",2019-01-01T08:00:00Z,2019-07-29T17:27:33Z
doi:10.18739/A2TQ5RD64,Dmitry A Streletskiy,"Thaw depth measurements from the Circumpolar Active Layer Monitoring (CALM) project for site 'Talnik' (R23), Russian European north, Russia from 1998-2018",EARTH SCIENCE > CRYOSPHERE > FROZEN GROUND > ACTIVE LAYER IN SITU/LABORATORY INSTRUMENTS > PROBES > TEMPERATURE PROBES IN SITU/LABORATORY INSTRUMENTS > PROBES > SNOW MEASURING ROD IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL TEMPERATURE PROBE IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL DEPTH PROBE IN SITU/LABORATORY INSTRUMENTS > RECORDERS/LOGGERS > TEMPERATURE LOGGERS IN SITU/LABORATORY INSTRUMENTS > TEMPERATURE/HUMIDITY SENSORS > THERMISTORS > THERMISTORS IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL MOISTURE PROBE IN SITU/LABORATORY INSTRUMENTS > PROBES > PROBES IN SITU/LABORATORY INSTRUMENTS > TEMPERATURE/HUMIDITY SENSORS > TEMPERATURE SENSORS POINT 1 METER TO 30 METERS 30 METERS TO 100 METERS 100 METERS TO 250 METERS 250 METERS TO 500 METERS 500 METERS TO 1 KILOMETER 1 KILOMETER MONTHLY TO ANNUAL FIELD SURVEY TRANSECT GRID MULTIPLE GRIDS AND VECTORS environment,"The primary goal of the Circumpolar Active Layer Monitoring (CALM) program is to observe the response of the active layer and near-surface permafrost to climate change over long (multi-decadal) time scales. The CALM observational network, established in the 1990s, observes the long-term response of the active layer and near-surface permafrost to changes and variations in climate at more than 200 sites in both hemispheres. CALM currently has participants from 15 countries. Majority of sites measure active-layer thickness on grids ranging from 1 hecatre to 1 square kilometer, and observe soil temperatures. Most sites in the CALM network are located in Arctic and Subarctic lowlands. Southern Hemisphere component (CALM-South) is being organized and currently includes sites in Antarctic and South America. The broader impacts of this project are derived from the hypothesis that widespread, systematic changes in the thickness of the active layer could have profound effects on the flux of greenhouse gases, on the human infrastructure in cold regions, and on landscape processes. It is therefore critical that observational and analytical procedures continue over decadal periods to assess trends and detect cumulative, long-term changes.  The CALM program began in 1991. It was initially affiliated with the International Tundra Experiment and has been supported independently and continuously since 1998 through grants from the United States National Science Foundation (NSF). CALM is funded by the NSF Award 1304555 (Polar Programs).  This dataset and metadata record was automatically generated from a web crawl of the original project page https://www2.gwu.edu/~calm/data/north.htm at the request of project coordinators. More information about this site and others in the project can be found at https://www2.gwu.edu/~calm/data/north.htm and also http://gtnpdatabase.org/activelayers .",2019-06-21T07:00:00Z,2019-06-26T20:34:12Z
doi:10.18739/A2SX6492J,Dmitry A Streletskiy,"Thaw depth measurements from the Circumpolar Active Layer Monitoring (CALM) project for site 'Akhmelo channel; Kolyma' (R17), North East Siberia, Russia from 1996-2018",EARTH SCIENCE > CRYOSPHERE > FROZEN GROUND > ACTIVE LAYER IN SITU/LABORATORY INSTRUMENTS > PROBES > TEMPERATURE PROBES IN SITU/LABORATORY INSTRUMENTS > PROBES > SNOW MEASURING ROD IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL TEMPERATURE PROBE IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL DEPTH PROBE IN SITU/LABORATORY INSTRUMENTS > RECORDERS/LOGGERS > TEMPERATURE LOGGERS IN SITU/LABORATORY INSTRUMENTS > TEMPERATURE/HUMIDITY SENSORS > THERMISTORS > THERMISTORS IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL MOISTURE PROBE IN SITU/LABORATORY INSTRUMENTS > PROBES > PROBES IN SITU/LABORATORY INSTRUMENTS > TEMPERATURE/HUMIDITY SENSORS > TEMPERATURE SENSORS POINT 1 METER TO 30 METERS 30 METERS TO 100 METERS 100 METERS TO 250 METERS 250 METERS TO 500 METERS 500 METERS TO 1 KILOMETER 1 KILOMETER MONTHLY TO ANNUAL FIELD SURVEY TRANSECT GRID MULTIPLE GRIDS AND VECTORS environment,"The primary goal of the Circumpolar Active Layer Monitoring (CALM) program is to observe the response of the active layer and near-surface permafrost to climate change over long (multi-decadal) time scales. The CALM observational network, established in the 1990s, observes the long-term response of the active layer and near-surface permafrost to changes and variations in climate at more than 200 sites in both hemispheres. CALM currently has participants from 15 countries. Majority of sites measure active-layer thickness on grids ranging from 1 hecatre to 1 square kilometer, and observe soil temperatures. Most sites in the CALM network are located in Arctic and Subarctic lowlands. Southern Hemisphere component (CALM-South) is being organized and currently includes sites in Antarctic and South America. The broader impacts of this project are derived from the hypothesis that widespread, systematic changes in the thickness of the active layer could have profound effects on the flux of greenhouse gases, on the human infrastructure in cold regions, and on landscape processes. It is therefore critical that observational and analytical procedures continue over decadal periods to assess trends and detect cumulative, long-term changes.  The CALM program began in 1991. It was initially affiliated with the International Tundra Experiment and has been supported independently and continuously since 1998 through grants from the United States National Science Foundation (NSF). CALM is funded by the NSF Award 1304555 (Polar Programs).  This dataset and metadata record was automatically generated from a web crawl of the original project page https://www2.gwu.edu/~calm/data/north.htm at the request of project coordinators. More information about this site and others in the project can be found at https://www2.gwu.edu/~calm/data/north.htm and also http://gtnpdatabase.org/activelayers .",2019-06-21T07:00:00Z,2019-06-26T20:26:45Z
doi:10.18739/A2T727G1F,Dmitry A Streletskiy,"Thaw depth measurements from the Circumpolar Active Layer Monitoring (CALM) project for site 'Neleger (Yakutsk region)' (R43), Central Siberia, Russia from 2008-2018",EARTH SCIENCE > CRYOSPHERE > FROZEN GROUND > ACTIVE LAYER IN SITU/LABORATORY INSTRUMENTS > PROBES > TEMPERATURE PROBES IN SITU/LABORATORY INSTRUMENTS > PROBES > SNOW MEASURING ROD IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL TEMPERATURE PROBE IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL DEPTH PROBE IN SITU/LABORATORY INSTRUMENTS > RECORDERS/LOGGERS > TEMPERATURE LOGGERS IN SITU/LABORATORY INSTRUMENTS > TEMPERATURE/HUMIDITY SENSORS > THERMISTORS > THERMISTORS IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL MOISTURE PROBE IN SITU/LABORATORY INSTRUMENTS > PROBES > PROBES IN SITU/LABORATORY INSTRUMENTS > TEMPERATURE/HUMIDITY SENSORS > TEMPERATURE SENSORS POINT 1 METER TO 30 METERS 30 METERS TO 100 METERS 100 METERS TO 250 METERS 250 METERS TO 500 METERS 500 METERS TO 1 KILOMETER 1 KILOMETER MONTHLY TO ANNUAL FIELD SURVEY TRANSECT GRID MULTIPLE GRIDS AND VECTORS environment,"The primary goal of the Circumpolar Active Layer Monitoring (CALM) program is to observe the response of the active layer and near-surface permafrost to climate change over long (multi-decadal) time scales. The CALM observational network, established in the 1990s, observes the long-term response of the active layer and near-surface permafrost to changes and variations in climate at more than 200 sites in both hemispheres. CALM currently has participants from 15 countries. Majority of sites measure active-layer thickness on grids ranging from 1 hecatre to 1 square kilometer, and observe soil temperatures. Most sites in the CALM network are located in Arctic and Subarctic lowlands. Southern Hemisphere component (CALM-South) is being organized and currently includes sites in Antarctic and South America. The broader impacts of this project are derived from the hypothesis that widespread, systematic changes in the thickness of the active layer could have profound effects on the flux of greenhouse gases, on the human infrastructure in cold regions, and on landscape processes. It is therefore critical that observational and analytical procedures continue over decadal periods to assess trends and detect cumulative, long-term changes.  The CALM program began in 1991. It was initially affiliated with the International Tundra Experiment and has been supported independently and continuously since 1998 through grants from the United States National Science Foundation (NSF). CALM is funded by the NSF Award 1304555 (Polar Programs).  This dataset and metadata record was automatically generated from a web crawl of the original project page https://www2.gwu.edu/~calm/data/north.htm at the request of project coordinators. More information about this site and others in the project can be found at https://www2.gwu.edu/~calm/data/north.htm and also http://gtnpdatabase.org/activelayers .",2019-06-21T07:00:00Z,2019-06-26T19:53:47Z
doi:10.18739/A2TB0XV4C,Dmitry A Streletskiy,"Thaw depth measurements from the Circumpolar Active Layer Monitoring (CALM) project for site 'Imnavait Creek MAT' (U11 C), Alaska North Slope, United States (Alaska) from 1995-2018",EARTH SCIENCE > CRYOSPHERE > FROZEN GROUND > ACTIVE LAYER IN SITU/LABORATORY INSTRUMENTS > PROBES > TEMPERATURE PROBES IN SITU/LABORATORY INSTRUMENTS > PROBES > SNOW MEASURING ROD IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL TEMPERATURE PROBE IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL DEPTH PROBE IN SITU/LABORATORY INSTRUMENTS > RECORDERS/LOGGERS > TEMPERATURE LOGGERS IN SITU/LABORATORY INSTRUMENTS > TEMPERATURE/HUMIDITY SENSORS > THERMISTORS > THERMISTORS IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL MOISTURE PROBE IN SITU/LABORATORY INSTRUMENTS > PROBES > PROBES IN SITU/LABORATORY INSTRUMENTS > TEMPERATURE/HUMIDITY SENSORS > TEMPERATURE SENSORS POINT 1 METER TO 30 METERS 30 METERS TO 100 METERS 100 METERS TO 250 METERS 250 METERS TO 500 METERS 500 METERS TO 1 KILOMETER 1 KILOMETER MONTHLY TO ANNUAL FIELD SURVEY TRANSECT GRID MULTIPLE GRIDS AND VECTORS environment,"The primary goal of the Circumpolar Active Layer Monitoring (CALM) program is to observe the response of the active layer and near-surface permafrost to climate change over long (multi-decadal) time scales. The CALM observational network, established in the 1990s, observes the long-term response of the active layer and near-surface permafrost to changes and variations in climate at more than 200 sites in both hemispheres. CALM currently has participants from 15 countries. Majority of sites measure active-layer thickness on grids ranging from 1 hecatre to 1 square kilometer, and observe soil temperatures. Most sites in the CALM network are located in Arctic and Subarctic lowlands. Southern Hemisphere component (CALM-South) is being organized and currently includes sites in Antarctic and South America. The broader impacts of this project are derived from the hypothesis that widespread, systematic changes in the thickness of the active layer could have profound effects on the flux of greenhouse gases, on the human infrastructure in cold regions, and on landscape processes. It is therefore critical that observational and analytical procedures continue over decadal periods to assess trends and detect cumulative, long-term changes.  The CALM program began in 1991. It was initially affiliated with the International Tundra Experiment and has been supported independently and continuously since 1998 through grants from the United States National Science Foundation (NSF). CALM is funded by the NSF Award 1304555 (Polar Programs).  This dataset and metadata record was automatically generated from a web crawl of the original project page https://www2.gwu.edu/~calm/data/north.htm at the request of project coordinators. More information about this site and others in the project can be found at https://www2.gwu.edu/~calm/data/north.htm and also http://gtnpdatabase.org/activelayers .",2019-06-21T07:00:00Z,2019-06-26T19:41:26Z
doi:10.18739/A2KH0DZ7H,Dmitry A Streletskiy,"Thaw depth measurements from the Circumpolar Active Layer Monitoring (CALM) project for site 'Farmers Loop' (U41), Alaska Interior, United States (Alaska) from 2005-2018",EARTH SCIENCE > CRYOSPHERE > FROZEN GROUND > ACTIVE LAYER IN SITU/LABORATORY INSTRUMENTS > PROBES > TEMPERATURE PROBES IN SITU/LABORATORY INSTRUMENTS > PROBES > SNOW MEASURING ROD IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL TEMPERATURE PROBE IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL DEPTH PROBE IN SITU/LABORATORY INSTRUMENTS > RECORDERS/LOGGERS > TEMPERATURE LOGGERS IN SITU/LABORATORY INSTRUMENTS > TEMPERATURE/HUMIDITY SENSORS > THERMISTORS > THERMISTORS IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL MOISTURE PROBE IN SITU/LABORATORY INSTRUMENTS > PROBES > PROBES IN SITU/LABORATORY INSTRUMENTS > TEMPERATURE/HUMIDITY SENSORS > TEMPERATURE SENSORS POINT 1 METER TO 30 METERS 30 METERS TO 100 METERS 100 METERS TO 250 METERS 250 METERS TO 500 METERS 500 METERS TO 1 KILOMETER 1 KILOMETER MONTHLY TO ANNUAL FIELD SURVEY TRANSECT GRID MULTIPLE GRIDS AND VECTORS environment,"The primary goal of the Circumpolar Active Layer Monitoring (CALM) program is to observe the response of the active layer and near-surface permafrost to climate change over long (multi-decadal) time scales. The CALM observational network, established in the 1990s, observes the long-term response of the active layer and near-surface permafrost to changes and variations in climate at more than 200 sites in both hemispheres. CALM currently has participants from 15 countries. Majority of sites measure active-layer thickness on grids ranging from 1 hecatre to 1 square kilometer, and observe soil temperatures. Most sites in the CALM network are located in Arctic and Subarctic lowlands. Southern Hemisphere component (CALM-South) is being organized and currently includes sites in Antarctic and South America. The broader impacts of this project are derived from the hypothesis that widespread, systematic changes in the thickness of the active layer could have profound effects on the flux of greenhouse gases, on the human infrastructure in cold regions, and on landscape processes. It is therefore critical that observational and analytical procedures continue over decadal periods to assess trends and detect cumulative, long-term changes.  The CALM program began in 1991. It was initially affiliated with the International Tundra Experiment and has been supported independently and continuously since 1998 through grants from the United States National Science Foundation (NSF). CALM is funded by the NSF Award 1304555 (Polar Programs).  This dataset and metadata record was automatically generated from a web crawl of the original project page https://www2.gwu.edu/~calm/data/north.htm at the request of project coordinators. More information about this site and others in the project can be found at https://www2.gwu.edu/~calm/data/north.htm and also http://gtnpdatabase.org/activelayers .",2019-06-21T07:00:00Z,2019-06-26T20:01:52Z
doi:10.18739/A2KP7TR37,Dmitry A Streletskiy,"Thaw depth measurements from the Circumpolar Active Layer Monitoring (CALM) project for site 'Arctic Village' (U55), Alaska Interior, United States (Alaska) from 2010-2016",EARTH SCIENCE > CRYOSPHERE > FROZEN GROUND > ACTIVE LAYER IN SITU/LABORATORY INSTRUMENTS > PROBES > TEMPERATURE PROBES IN SITU/LABORATORY INSTRUMENTS > PROBES > SNOW MEASURING ROD IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL TEMPERATURE PROBE IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL DEPTH PROBE IN SITU/LABORATORY INSTRUMENTS > RECORDERS/LOGGERS > TEMPERATURE LOGGERS IN SITU/LABORATORY INSTRUMENTS > TEMPERATURE/HUMIDITY SENSORS > THERMISTORS > THERMISTORS IN SITU/LABORATORY INSTRUMENTS > PROBES > SOIL MOISTURE PROBE IN SITU/LABORATORY INSTRUMENTS > PROBES > PROBES IN SITU/LABORATORY INSTRUMENTS > TEMPERATURE/HUMIDITY SENSORS > TEMPERATURE SENSORS POINT 1 METER TO 30 METERS 30 METERS TO 100 METERS 100 METERS TO 250 METERS 250 METERS TO 500 METERS 500 METERS TO 1 KILOMETER 1 KILOMETER MONTHLY TO ANNUAL FIELD SURVEY TRANSECT GRID MULTIPLE GRIDS AND VECTORS environment,"The primary goal of the Circumpolar Active Layer Monitoring (CALM) program is to observe the response of the active layer and near-surface permafrost to climate change over long (multi-decadal) time scales. The CALM observational network, established in the 1990s, observes the long-term response of the active layer and near-surface permafrost to changes and variations in climate at more than 200 sites in both hemispheres. CALM currently has participants from 15 countries. Majority of sites measure active-layer thickness on grids ranging from 1 hecatre to 1 square kilometer, and observe soil temperatures. Most sites in the CALM network are located in Arctic and Subarctic lowlands. Southern Hemisphere component (CALM-South) is being organized and currently includes sites in Antarctic and South America. The broader impacts of this project are derived from the hypothesis that widespread, systematic changes in the thickness of the active layer could have profound effects on the flux of greenhouse gases, on the human infrastructure in cold regions, and on landscape processes. It is therefore critical that observational and analytical procedures continue over decadal periods to assess trends and detect cumulative, long-term changes.  The CALM program began in 1991. It was initially affiliated with the International Tundra Experiment and has been supported independently and continuously since 1998 through grants from the United States National Science Foundation (NSF). CALM is funded by the NSF Award 1304555 (Polar Programs).  This dataset and metadata record was automatically generated from a web crawl of the original project page https://www2.gwu.edu/~calm/data/north.htm at the request of project coordinators. More information about this site and others in the project can be found at https://www2.gwu.edu/~calm/data/north.htm and also http://gtnpdatabase.org/activelayers .",2019-06-21T07:00:00Z,2019-06-26T19:51:48Z
